[2025-09-16T05:05:10.068Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:05:10.811Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:05:20.700Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:06:38.499Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:06:39.177Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:06:40.064Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:06:40.070Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:06:40.119Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:06:40.169Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:09:31.886Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:09:31.921Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:09:34.124Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:09:34.131Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:31.924Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:34.485Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:34.497Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:35.475Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:36.275Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:36.309Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:36.921Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:37.250Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:37.480Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:37.683Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:37.772Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:11:37.808Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:12:32.808Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:12:40.891Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:12:41.321Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:12:42.335Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T05:12:47.279Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:12:51.442Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:12:51.730Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:12:52.735Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T05:13:05.721Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:13:05.978Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:13:06.750Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:13:06.989Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:13:06.992Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T05:13:07.991Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T05:13:26.988Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:13:34.203Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:13:34.206Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:13:34.599Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:13:34.615Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:13:35.608Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T05:13:35.623Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T05:13:49.980Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:13:49.983Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:17:18.362Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:17:21.414Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
